City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kalemie,-5.9475,29.1947,20.73,88,100,1.24,CD,1738278155
1,breyten,-26.3018,29.987,16.74,83,72,1.26,ZA,1738278133
2,utrik,11.2278,169.8474,26.2,71,76,5.81,MH,1738278158
3,el bolson,-41.9667,-71.5167,24.68,27,0,3.98,AR,1738278030
4,college,64.8569,-147.8028,-25.44,71,100,0.68,US,1738278160
5,mount pearl,47.5166,-52.7813,-6.03,89,100,11.32,CA,1738278161
6,yellowknife,62.456,-114.3525,-26.44,94,100,1.54,CA,1738278163
7,waitangi,-43.9535,-176.5597,17.12,77,32,3.58,NZ,1738278164
8,invercargill,-46.4,168.35,20.57,56,74,1.79,NZ,1738278165
9,westport,41.1415,-73.3579,-0.05,49,29,3.04,US,1738278003
10,ust-tsilma,65.441,52.1498,-8.13,96,100,2.84,RU,1738278168
11,isafjordur,66.0755,-23.124,-2.31,76,95,5.39,IS,1738278169
12,udachny,66.4167,112.4,-31.68,98,98,1.93,RU,1738278170
13,hawaiian paradise park,19.5933,-154.9731,29.94,78,40,10.29,US,1738278171
14,port-aux-francais,-49.35,70.2167,6.92,91,99,14.91,TF,1738278172
15,vadso,70.0744,29.7487,-0.91,93,100,10.29,NO,1738278173
16,sitka,57.0531,-135.33,-1.06,80,100,4.12,US,1738278175
17,edinburgh of the seven seas,-37.0676,-12.3116,14.69,61,19,3.01,SH,1738278176
18,okhotsk,59.3833,143.3,-21.95,72,0,6.37,RU,1738278177
19,santa isabel,-23.3156,-46.2214,21.61,95,100,1.4,BR,1738278179
20,east ballina,-28.8667,153.5833,26.5,68,57,3.1,AU,1738278181
21,anadyr,64.75,177.4833,-18.72,84,100,5.0,RU,1738278182
22,blackmans bay,-43.0167,147.3167,20.41,55,57,0.89,AU,1738278183
23,margate,51.3813,1.3862,3.72,85,3,5.09,GB,1738278184
24,thompson,55.7435,-97.8558,-22.91,64,20,3.6,CA,1738278186
25,lata,40.1629,-8.3327,4.4,84,55,1.08,PT,1738278187
26,bethel,41.3712,-73.414,-1.36,50,28,1.34,US,1738278000
27,lebu,-37.6167,-73.65,17.49,76,2,2.86,CL,1738278189
28,bengkulu,-3.8004,102.2655,23.41,91,73,2.27,ID,1738278190
29,tomakivka,47.8157,34.7414,6.58,92,100,2.17,UA,1738278191
30,saipan,15.1355,145.701,29.39,78,75,9.26,MP,1738278192
31,ingeniero guillermo n. juarez,-23.9,-61.85,32.35,32,26,2.82,AR,1738278194
32,haiku-pauwela,20.9219,-156.3051,25.65,84,100,11.32,US,1738278195
33,puerto natales,-51.7236,-72.4875,14.25,51,75,8.23,CL,1738278196
